
Tempo:510018.03466666664
Destinazione	 NEXTHOP	 Costo
1011	1016	3.5793069175877346
1010	1016	3.9951500783532907
1008	1016	4.826836399884403
1007	1016	5.242679560649959
1006	1016	5.658522721415515
1017	1016	1.489040573990625
1016	1016	1.0
1005	1016	6.0743658821810715
1004	1016	6.490209042946628
1015	1016	1.911527407698232
1014	1016	2.567761145526034
1003	1016	6.906052203712184
1002	1016	7.32189536447774
1013	1016	2.7476205960566222
1012	1016	3.1634637568221784
1001	1016	7.9329145972296375
1009	1016	4.410993239118847
=========================

Tempo:510018.03466666664
Destinazione	 NEXTHOP	 Costo
1011	1016	3.5793069175877346
1010	1016	3.9951500783532907
1008	1016	4.826836399884403
1007	1016	5.242679560649959
1006	1016	5.658522721415515
1017	1017	0.6839182194860022
1016	1016	1.0
1005	1016	6.0743658821810715
1004	1016	6.490209042946628
1015	1016	1.911527407698232
1014	1017	2.4315388155426243
1003	1016	6.906052203712184
1002	1016	7.32189536447774
1013	1016	2.7476205960566222
1012	1016	3.1634637568221784
1001	1016	7.9329145972296375
1009	1016	4.410993239118847
=========================

Tempo:515018.03466666664
Destinazione	 NEXTHOP	 Costo
1011	1016	3.5793069175877346
1010	1016	3.9951500783532907
1008	1016	4.826836399884403
1007	1016	5.242679560649959
1006	1016	5.658522721415515
1017	1017	0.6839182194860022
1016	1016	1.5678327897201771
1005	1016	6.0743658821810715
1004	1016	6.490209042946628
1015	1016	1.911527407698232
1014	1017	2.4315388155426243
1003	1016	6.906052203712184
1002	1016	7.32189536447774
1013	1016	2.7476205960566222
1012	1016	3.1634637568221784
1001	1016	7.9329145972296375
1009	1016	4.410993239118847
=========================

Tempo:515018.03466666664
Destinazione	 NEXTHOP	 Costo
1011	1016	3.5793069175877346
1010	1016	3.9951500783532907
1008	1016	4.826836399884403
1007	1016	5.242679560649959
1006	1016	5.658522721415515
1017	1017	0.684293188405094
1016	1017	1.170658478591129
1005	1016	6.0743658821810715
1004	1016	6.490209042946628
1015	1017	1.7849514705000278
1014	1017	2.4315388155426243
1003	1016	6.906052203712184
1002	1016	7.32189536447774
1013	1016	2.7476205960566222
1012	1016	3.1634637568221784
1001	1016	7.9329145972296375
