
Tempo:540018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1017	3.9951500783532907
1010	1017	4.410993239118847
1008	1017	5.242679560649959
1007	1017	5.658522721415515
1018	1017	1.489040573990625
1017	1017	1.0
1006	1017	6.0743658821810715
1005	1017	6.490209042946628
1016	1017	1.911527407698232
1015	1017	2.567761145526034
1004	1017	6.906052203712184
1003	1017	7.32189536447774
1014	1017	2.7476205960566222
1013	1017	3.1634637568221784
1002	1017	7.737738525243296
1001	1017	8.348757757995195
1012	1017	3.5793069175877346
1009	1017	4.826836399884403
=========================

Tempo:540018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1017	3.9951500783532907
1010	1017	4.410993239118847
1008	1017	5.242679560649959
1007	1017	5.658522721415515
1018	1018	0.6839182194860022
1017	1017	1.0
1006	1017	6.0743658821810715
1005	1017	6.490209042946628
1016	1017	1.911527407698232
1015	1018	2.4315388155426243
1004	1017	6.906052203712184
1003	1017	7.32189536447774
1014	1017	2.7476205960566222
1013	1017	3.1634637568221784
1002	1017	7.737738525243296
1001	1017	8.348757757995195
1012	1017	3.5793069175877346
1009	1017	4.826836399884403
=========================

Tempo:545018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1017	3.9951500783532907
1010	1017	4.410993239118847
1008	1017	5.242679560649959
1007	1017	5.658522721415515
1018	1018	0.6839182194860022
1017	1017	1.5678327897201771
1006	1017	6.0743658821810715
1005	1017	6.490209042946628
1016	1017	1.911527407698232
1015	1018	2.4315388155426243
1004	1017	6.906052203712184
1003	1017	7.32189536447774
1014	1017	2.7476205960566222
1013	1017	3.1634637568221784
1002	1017	7.737738525243296
1001	1017	8.348757757995195
1012	1017	3.5793069175877346
1009	1017	4.826836399884403
=========================

Tempo:545018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1017	3.9951500783532907
1010	1017	4.410993239118847
1008	1017	5.242679560649959
1007	1017	5.658522721415515
1018	1018	0.684293188405094
1017	1018	1.170658478591129
1006	1017	6.0743658821810715
1005	1017	6.490209042946628
1016	1018	1.7849514705000278
1015	1018	2.4315388155426243
1004	1017	6.906052203712184
1003	1017	7.32189536447774
1014	1017	2.7476205960566222
1013	1017	3.1634637568221784
1002	1017	7.737738525243296
1001	1017	8.348757757995195
1012	1017	3.5793069175877346
1009	1017	4.826836399884403
=========================

Tempo:550018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1017	3.9951500783532907
1010	1017	4.410993239118847
1008	1017	5.242679560649959
1007	1017	5.658522721415515
1018	1018	0.684293188405094
1017	1017	1.6797113495622755
1006	1017	6.0743658821810715
1005	1017	6.490209042946628
1016	1018	1.7849514705000278
1015	1018	2.4315388155426243
1004	1017	6.906052203712184
1003	1017	7.32189536447774
1014	1017	2.7476205960566222
1013	1017	3.1634637568221784
1002	1017	7.737738525243296
1001	1017	8.348757757995195
1012	1017	3.5793069175877346
1009	1017	4.826836399884403
=========================

Tempo:550018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.968289685447754
1010	1018	4.38413284621331
1008	1018	5.215819167744423
1007	1018	5.631662328509979
1018	1018	0.5572964463289072
1017	1018	1.2497938577503198
1006	1018	6.047505489275535
1005	1018	6.463348650041091
1016	1018	1.747620596056622
1015	1018	2.3049170423855294
1004	1018	6.879191810806647
1003	1018	7.295034971572203
1014	1018	2.7207602031510856
1013	1018	3.1366033639166417
1002	1018	7.7108781323377595
1001	1018	8.321897365089658
1012	1018	3.552446524682198
1009	1018	4.799976006978866
=========================

Tempo:555018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.968289685447754
1010	1018	4.38413284621331
1008	1018	5.215819167744423
1007	1018	5.631662328509979
1018	1018	0.5572964463289072
1017	1017	1.8557637275385024
1006	1018	6.047505489275535
1005	1018	6.463348650041091
1016	1018	1.747620596056622
1015	1018	2.3049170423855294
1004	1018	6.879191810806647
1003	1018	7.295034971572203
1014	1018	2.7207602031510856
1013	1018	3.1366033639166417
1002	1018	7.7108781323377595
1001	1018	8.321897365089658
1012	1018	3.552446524682198
1009	1018	4.799976006978866
=========================

Tempo:555018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.8317052304014476
1010	1018	4.247548391167004
1008	1018	5.079234712698116
1007	1018	5.495077873463672
1018	1018	0.4207119912826007
1017	1018	1.41302007431284
1006	1018	5.910921034229228
1005	1018	6.326764194994785
1016	1018	1.747620596056622
1015	1018	2.1683325873392225
1004	1018	6.742607355760341
1003	1018	7.158450516525897
1014	1018	2.584175748104779
1013	1018	3.0000189088703353
1002	1018	7.574293677291453
1001	1018	8.18531291004335
1012	1018	3.4158620696358915
1009	1018	4.66339155193256
=========================

Tempo:560018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.8317052304014476
1010	1018	4.247548391167004
1008	1018	5.079234712698116
1007	1018	5.495077873463672
1018	1018	0.4207119912826007
1017	1017	2.170969798412021
1006	1018	5.910921034229228
1005	1018	6.326764194994785
1016	1018	1.747620596056622
1015	1018	2.1683325873392225
1004	1018	6.742607355760341
1003	1018	7.158450516525897
1014	1018	2.584175748104779
1013	1018	3.0000189088703353
1002	1018	7.574293677291453
1001	1018	8.18531291004335
1012	1018	3.4158620696358915
1009	1018	4.66339155193256
=========================

Tempo:560018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.826836399884403
1010	1018	4.242679560649959
1008	1018	5.0743658821810715
1007	1018	5.490209042946628
1018	1018	0.41584316076555616
1017	1018	1.486372171100703
1006	1018	5.906052203712184
1005	1018	6.32189536447774
1016	1018	1.747620596056622
1015	1018	2.1634637568221784
1004	1018	6.737738525243296
1003	1018	7.153581686008852
1014	1018	2.5793069175877346
1013	1018	2.9951500783532907
1002	1018	7.5694248467744085
1001	1018	8.180444079526307
1012	1018	3.410993239118847
1009	1018	4.658522721415515
=========================

Tempo:565018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.826836399884403
1010	1018	4.242679560649959
1008	1018	5.0743658821810715
1007	1018	5.490209042946628
1018	1018	0.41584316076555616
1017	1017	2.442341498385543
1006	1018	5.906052203712184
1005	1018	6.32189536447774
1016	1018	1.747620596056622
1015	1018	2.1634637568221784
1004	1018	6.737738525243296
1003	1018	7.153581686008852
1014	1018	2.5793069175877346
1013	1018	2.9951500783532907
1002	1018	7.5694248467744085
1001	1018	8.180444079526307
1012	1018	3.410993239118847
1009	1018	4.658522721415515
=========================

Tempo:565018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.826836399884403
1010	1018	4.242679560649959
1008	1018	5.0743658821810715
1007	1018	5.490209042946628
1018	1018	0.4395188195416564
1017	1018	1.525658783394507
1006	1018	5.906052203712184
1005	1018	6.32189536447774
1016	1018	1.747620596056622
1015	1018	2.1634637568221784
1004	1018	6.737738525243296
1003	1018	7.153581686008852
1014	1018	2.5793069175877346
1013	1018	2.9951500783532907
1002	1018	7.5694248467744085
1001	1018	8.180444079526307
1012	1018	3.410993239118847
1009	1018	4.658522721415515
=========================

Tempo:570018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.826836399884403
1010	1018	4.242679560649959
1008	1018	5.0743658821810715
1007	1018	5.490209042946628
1018	1018	0.4395188195416564
1017	1017	2.369044990398309
1006	1018	5.906052203712184
1005	1018	6.32189536447774
1016	1018	1.747620596056622
1015	1018	2.1634637568221784
1004	1018	6.737738525243296
1003	1018	7.153581686008852
1014	1018	2.5793069175877346
1013	1018	2.9951500783532907
1002	1018	7.5694248467744085
1001	1018	8.180444079526307
1012	1018	3.410993239118847
1009	1018	4.658522721415515
=========================

Tempo:570018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.826836399884403
1010	1018	4.242679560649959
1008	1018	5.0743658821810715
1007	1018	5.490209042946628
1018	1018	0.4625118556936663
1017	1018	1.3740392633918985
1006	1018	5.906052203712184
1005	1018	6.32189536447774
1016	1018	1.747620596056622
1015	1018	2.1634637568221784
1004	1018	6.737738525243296
1003	1018	7.153581686008852
1014	1018	2.5793069175877346
1013	1018	2.9951500783532907
1002	1018	7.5694248467744085
1001	1018	8.180444079526307
1012	1018	3.410993239118847
1009	1018	4.658522721415515
=========================

Tempo:570018.0346666666
Destinazione	 NEXTHOP	 Costo
1011	1018	3.826836399884403
1010	1018	4.242679560649959
1020	1020	1.0568902869439392
